__time,/setpoints/data[0],/setpoints/data[1],/setpoints/data[2],/setpoints/data[3],/setpoints/data[4],/setpoints/data[5],/setpoints/data[6],/setpoints/data[7],/setpoints/layout/data_offset
1713409231.161342,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409231.215966,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409231.314635,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409231.366041,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409231.431490,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409231.493633,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409231.545127,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409231.633080,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409231.728855,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409231.817859,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409231.889414,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409231.960835,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409232.003132,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409232.034770,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409232.236280,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409232.290529,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409232.350591,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409232.444942,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409232.492764,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409232.552938,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409232.628529,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409232.683383,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409232.755458,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409232.856021,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409232.905754,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409232.934486,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
