__time,/setpoints/data[0],/setpoints/data[1],/setpoints/data[2],/setpoints/data[3],/setpoints/data[4],/setpoints/data[5],/setpoints/data[6],/setpoints/data[7],/setpoints/layout/data_offset
1713409228.085326,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409228.150534,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409228.265140,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409228.350111,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409228.385980,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409228.498850,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409228.593857,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409228.622276,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409228.696044,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409228.788028,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409228.865748,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409228.915472,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409228.964194,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409229.045328,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409229.145601,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409229.228044,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409229.307264,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409229.368804,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409229.476714,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409229.545156,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409229.635329,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409229.687884,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409229.774623,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409229.845721,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409229.898200,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409229.987405,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409230.080829,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409230.183418,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409230.245528,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409230.315751,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409230.349001,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409230.428214,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409230.494387,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409230.571426,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409230.620022,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409230.657785,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409230.736670,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409230.834627,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409230.906287,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409230.985123,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
1713409231.095937,0.000000000,0.000000000,0.000000000,0.000000000,249.459472656,255.000000000,255.000000000,255.000000000,0.000000000
